Disaster Group,Disaster Type,Region,Year of Occurrence,Total Deaths
Natural,Drought,Africa,2001,0
Natural,Drought,Africa,2000,0
Natural,Drought,Africa,2000,21
Natural,Flood,Africa,2000,31
Natural,Extreme temperature,Asia,2000,49
Natural,Volcanic activity,Americas,2000,0
Natural,Storm,Asia,2000,3
Natural,Flood,Africa,2000,800
Natural,Wildfire,Africa,2000,0
Natural,Flood,Americas,2000,26
Natural,Extreme temperature,Asia,2000,275
Natural,Storm,Americas,2000,1
Natural,Earthquake,Asia,2000,0
Natural,Storm,Europe,2000,14
Natural,Extreme temperature,Europe,2000,0
Natural,Earthquake,Asia,2000,7
Natural,Earthquake,Asia,2000,1
Natural,Storm,Africa,2000,2
Natural,Flood,Asia,2000,50
Natural,Earthquake,Asia,2000,0
Natural,Flood,Africa,2000,83
Natural,Flood,Africa,2000,3
Natural,Storm,Asia,2000,4
Natural,Earthquake,Asia,2000,1
Natural,Epidemic,Europe,2000,0
Natural,Epidemic,Africa,2000,24
Natural,Epidemic,Asia,2000,507
Natural,Epidemic,Africa,2000,27
Natural,Epidemic,Africa,2000,16
Natural,Epidemic,Africa,2000,230
Natural,Epidemic,Africa,2000,28
Natural,Epidemic,Africa,2000,10
Natural,Epidemic,Africa,2000,3
Natural,Earthquake,Asia,2000,0
Natural,Flood,Asia,2000,0
Natural,Storm,Americas,2000,22
Natural,Epidemic,Africa,2000,4
Natural,Epidemic,Africa,2000,8
Natural,Earthquake,Europe,2000,0
Natural,Flood,Africa,2000,0
Natural,Flood,Americas,2000,3
Natural,Earthquake,Americas,2000,2
Natural,Flood,Africa,2000,70
Natural,Epidemic,Africa,2000,54
Natural,Volcanic activity,Asia,2000,0
Natural,Extreme temperature,Africa,2000,3
Natural,Storm,Asia,2000,3
Natural,Storm,Asia,2000,9
Natural,Flood,Africa,2000,0
Natural,Storm,Oceania,2000,1
Natural,Flood,Americas,2000,8
Natural,Epidemic,Africa,2000,186
Natural,Flood,Africa,2000,0
Natural,Wildfire,Africa,2000,0
Natural,Storm,Africa,2000,130
Natural,Storm,Africa,2000,17
Natural,Epidemic,Asia,2000,10
Natural,Epidemic,Africa,2000,12
Natural,Epidemic,Africa,2000,11
Natural,Earthquake,Americas,2000,0
Natural,Flood,Americas,2000,7
Natural,Wildfire,Asia,2000,0
Natural,Flood,Africa,2000,0
Natural,Epidemic,Asia,2000,95
Natural,Epidemic,Africa,2000,16
Natural,Wildfire,Americas,2000,0
Natural,Flood,Americas,2000,22
Natural,Flood,Americas,2000,0
Natural,Epidemic,Africa,2000,602
Natural,Epidemic,Africa,2000,10
Natural,Epidemic,Africa,2000,14
Natural,Epidemic,Africa,2000,9
Natural,Storm,Asia,2000,0
Natural,Flood,Africa,2000,3
Natural,Storm,Asia,2000,16
Natural,Epidemic,Africa,2000,128
Natural,Epidemic,Asia,2000,2
Natural,Epidemic,Africa,2000,22
Natural,Storm,Asia,2000,9
Natural,Extreme temperature,Europe,2000,13
Natural,Flood,Europe,2000,0
Natural,Flood,Europe,2000,0
Natural,Storm,Americas,2000,5
Natural,Volcanic activity,Asia,2000,0
Natural,Storm,Africa,2000,23
Natural,Storm,Africa,2000,1
Natural,Flood,Europe,2000,0
Natural,Epidemic,Africa,2000,108
Natural,Epidemic,Africa,2000,15
Natural,Epidemic,Asia,2000,0
Natural,Epidemic,Africa,2000,0
Natural,Flood,Europe,2000,9
Natural,Wildfire,Asia,2000,0
Natural,Flood,Europe,2000,1
Natural,Flood,Africa,2000,1
Natural,Wildfire,Asia,2000,2
Natural,Flood,Europe,2000,0
Natural,Epidemic,Africa,2000,16
Natural,Epidemic,Africa,2000,36
Natural,Flood,Asia,2000,15
Natural,Flood,Europe,2000,1
Natural,Epidemic,Americas,2000,0
Natural,Epidemic,Americas,2000,8
Natural,Storm,Asia,2000,20
Natural,Epidemic,Asia,2000,57
Natural,Storm,Oceania,2000,0
Natural,Wildfire,Americas,2000,0
Natural,Wildfire,Europe,2000,0
Natural,Epidemic,Africa,2000,390
Natural,Storm,Asia,2000,0
Natural,Earthquake,Asia,2000,45
Natural,Wildfire,Europe,2000,0
Natural,Flood,Americas,2000,2
Natural,Flood,Asia,2000,0
Natural,Epidemic,Africa,2000,0
Natural,Wildfire,Americas,2000,0
Natural,Epidemic,Oceania,2000,19
Natural,Epidemic,Africa,2000,0
Natural,Flood,Europe,2000,0
Natural,Infestation,Oceania,2000,0
Natural,Epidemic,Africa,2000,51
Natural,Flood,Americas,2000,4
Natural,Storm,Asia,2000,12
Natural,Flood,Asia,2000,126
Natural,Flood,Africa,2000,0
Natural,Flood,Africa,2000,11
Natural,Flood,Americas,2000,96
Natural,Flood,Americas,2000,34
Natural,Extreme temperature,Europe,2000,0
Natural,Storm,Asia,2000,26
Natural,Flood,Americas,2000,1
Natural,Earthquake,Asia,2000,1
